House_Age,Number_of_Occupants,Temperature,Humidity,Day_of_Week,Is_Holiday,Appliance_Usage,Outdoor_Light_Intensity,Window_Open,Hour_of_Day,AC_Usage,Heater_Usage,Total_Energy_Consumption
39,5,13.42767467707108,55.326242733130925,1,0,3.1172383535154773,3809.951096217859,0,16,1.13911337117008,1.2974892789549435,6.73
29,1,22.894035369928147,70.12216854080418,0,0,1.4972869528796182,6336.378571677758,1,20,0.34007413627782157,0.7260998927009569,3.93
15,6,25.078203584231176,68.09961550322093,5,0,2.607114576613356,1928.338129573081,0,13,1.2321307181105432,0.04118142533462654,4.87
43,3,21.10967874941048,64.5995606585516,1,0,2.5182192304138145,4173.3208842402555,0,10,0.8288745434414762,0.6353365111238657,5.49
8,1,15.556941028174343,55.66592384648371,4,0,2.9360667417661728,3576.3250721986697,1,3,1.5703431416045357,1.0617670487427986,6.49
21,3,14.921929782039957,71.2849297844826,2,0,2.9054729258333873,4381.973444306953,0,0,0.4141145864855731,1.7259169270772938,6.39
39,2,33.40805484691846,57.41891181074118,6,0,1.639429421535697,2612.4727828072514,1,2,1.85198655960087,0.9664620840936294,5.32
19,6,14.948152113791512,63.28776571936126,5,0,3.8062200995011364,4966.250954995099,0,6,0.5948622358145847,0.024197683109592028,5.97
23,2,13.854995560704467,60.1493458327269,0,1,2.442461061847682,2047.1981658825678,0,0,1.6413302498290618,0.17829519257758097,5.91
11,6,20.456189611444714,39.05275688739681,5,0,3.230498681700332,4772.847646668007,0,1,2.574110005449369,0.0,6.6
11,6,26.109240607065754,41.17559226379798,3,0,1.2391180190478486,3395.8616588122586,1,9,0.5683358669180589,1.4551278493317716,4.13
24,1,30.292486700991947,33.220011651507974,1,0,2.0853350163054993,4554.321501962146,0,14,1.520846878158363,0.5782923268117506,3.93
36,3,20.933507835265836,49.26445839574385,3,0,3.5786100145509674,3153.361205175529,0,20,1.4480632899470653,1.6449793238512191,7.79
40,6,20.864478818332643,67.17770811460419,0,0,4.13534935426451,2977.85625267303,0,6,1.2664133589522268,0.8656893025264198,7.47
24,3,15.580170082844464,60.08456456265872,6,1,2.9243297974373124,5905.917870350148,0,21,0.4319987527690382,0.2584838817689974,4.96
3,6,27.441257414625234,54.51266625422466,1,0,2.4119133533238877,6042.784690593824,1,4,0.0,1.2790168570438292,5.17
22,3,21.65139319930849,75.38338970733075,5,0,1.4377380099077794,2626.6643399210866,1,15,0.0,0.8660190165906119,4.11
2,2,21.814752345971446,50.45064489849088,5,0,3.2972883993212228,4190.857470765862,0,8,0.1351018120307722,0.6334584384339479,4.75
24,1,24.16719497885205,63.38377220888793,1,0,2.8065244750038203,4928.499824803941,1,23,1.7362119411821921,0.3871104395736344,5.48
44,6,23.5091799524718,49.886182407448615,5,0,0.5,3920.7632388967986,1,4,0.5009816356251426,0.8906281191734013,2.95
30,4,21.29859266807523,32.53894866122218,0,0,0.7672103421540521,3961.331583642318,0,1,1.1516861736271953,1.4462052885622816,3.81
38,3,28.604897917349682,43.7117888742365,2,0,2.850266109811765,4867.354889101976,0,9,0.07803197138656881,0.8677512116189224,4.81
2,3,13.981564272113427,43.312427666826906,0,0,1.6678093901046531,4655.9637029393225,0,23,1.268441604843005,1.1475281632852468,4.77
21,4,23.05646926437568,33.67744245076038,3,0,1.4604296317178012,3461.2033565357588,1,15,0.37797415145242086,0.7594585012693494,2.86
33,1,24.035846407176535,52.71792150169492,4,1,2.395950845304147,4631.979766472022,0,9,0.7315928436206902,0.9573776823859989,5.15
12,3,19.93803380559486,43.868667574445254,4,0,2.843203503775015,3683.4444892958186,0,17,0.4926329026812488,1.8744793327110711,5.92
22,1,25.08224848736186,77.4624909569896,6,0,3.9304371671991833,3573.880403667465,1,22,0.7191781447086956,0.6892893380542267,6.87
44,3,25.31544348990603,51.48615044344666,4,0,1.68258295982897,3116.118175445716,0,5,0.27657872650446724,0.5925962625040672,3.61
25,5,27.54907182615083,42.44404527821409,6,0,2.935808700517476,3119.7142850071077,0,20,0.0930617409756056,0.8400359257713451,4.71
49,3,21.442201614340348,38.68092968763176,1,0,1.4733913607955365,4310.532550892157,1,19,0.2665101374399296,0.9966600140405446,3.46
27,5,20.914256003231294,38.17488642224696,1,0,2.0048464274852424,2163.814499490158,0,13,1.054245927720321,1.8118651032679889,5.84
42,6,24.69597240821252,68.16452427864441,0,0,2.6888924288160876,2130.0790417939934,1,15,0.05362179020559621,1.4377273104845403,5.9
28,1,21.01258383168692,69.4759160504964,1,1,2.3523523002117765,3798.4388492873345,0,22,1.3922639297965795,0.4218531348458176,5.71
16,3,14.39328023768069,25.044539293259145,5,0,1.1338332796900064,4004.5561060051627,1,1,0.6507581288592075,0.6812774077787921,2.95
15,2,26.312116861092218,87.44533339783128,3,0,3.0134556145788536,2740.6538259928257,0,16,1.732877647998021,1.1302773072351655,7.14
47,2,12.828574095480592,56.15441715284424,5,0,3.241239319787507,6101.566785865712,1,19,1.3239000076844254,1.02787348103535,6.98
44,4,24.0083846445173,70.33342066486229,0,0,4.859277951902005,3105.178880444885,0,1,0.6790185005177194,0.7282156678719433,7.77
3,2,34.69246729530866,42.963299905644405,3,0,2.7219137389681207,3214.363306786412,0,21,1.6986695479899523,1.5838363600792298,6.41
37,5,24.66607376822047,40.23624753780815,4,0,2.673736379439691,3114.579720996898,0,19,0.8947407665357521,0.8458342952739113,5.07
7,2,18.529469593498355,51.274463031853536,6,0,2.8032616335813216,5139.575606629225,0,4,0.8177068775223956,0.07692687579947954,5.49
21,2,19.74317913372439,60.6278848736088,3,0,1.1358372883656411,6035.232723262285,0,8,1.5365976177659024,0.2316420099649622,4.37
9,2,23.85311883062738,58.28431781527098,5,0,1.2043522648650455,2840.83836105441,0,17,0.9279147759796993,1.7788689776118454,5.63
39,3,21.893141198670232,72.54113781150957,4,0,2.4173899222927435,5008.5846362967695,0,20,1.5189080675664097,0.398693665636983,5.89
18,4,25.781262646606454,28.473797893387978,1,0,0.5,4319.3017679279565,0,12,0.9453633434222739,1.2818140660770871,3.06
4,1,29.250418253622634,68.60619081321683,0,0,1.369280516383413,3085.1608333352133,1,5,0.8680449199094533,0.590664089550694,3.74
25,4,28.572060449805022,62.70858233893495,2,0,2.002425667204047,4316.088644948548,1,11,2.230150016782207,0.11255730129751995,5.22
14,5,16.220926472073874,59.68199459529026,6,0,3.5088117981216125,2416.998575666722,1,23,2.0454431770596155,1.1306127181432455,7.5
9,3,22.079993850648464,34.79385640304294,3,0,2.7593521715845326,3699.7509167705502,0,18,0.7833945013247399,0.8800132543145704,4.9
26,6,24.464008184612418,43.022946829764024,0,0,0.9820728755414996,2798.346679584658,0,14,0.8389395373446549,1.0088965079357912,3.77
2,3,29.584716025839523,64.56828061065829,5,0,2.459726397083075,3596.684995712745,1,6,1.8493162350819508,0.1928951509784158,5.51
20,2,23.795872343297457,20.0,2,0,3.083440852155863,4082.594888852981,0,13,0.0,0.4512187306518744,4.3
28,2,18.581498566066024,26.551740816194386,0,0,3.214175959191309,5793.795806053504,0,18,0.8386150003489434,0.3350474702068327,5.05
47,5,24.175213674672342,61.89281160542217,2,0,3.5455097314399233,4063.8293512277914,0,3,0.44692389898842666,0.0,5.14
7,6,31.096427004671526,63.43486811756135,0,0,3.698052713815663,2805.3237735574794,0,22,0.0,1.45016787607525,6.69
44,3,20.737992639904995,43.822867464765054,6,0,3.0699033853460773,4019.7936095971977,0,11,1.8923398008820256,1.346036570476027,6.81
8,6,18.49331873694806,43.77991732449364,4,0,2.987093787648699,1511.3977316632663,0,6,2.3996162759922064,0.926766965451317,7.19
47,1,21.83764214841233,69.27094133050605,2,0,2.732554542559421,5026.077031796166,1,8,1.2314176860480628,0.16836915683465792,5.45
35,4,18.745623176498974,68.30261953816897,6,0,3.342380651662367,3026.906250415064,0,1,1.615969998755823,0.9035214828845659,7.28
14,3,26.13494204755566,49.90389498195702,0,1,1.7121545204576303,6279.935544405254,1,11,0.6862741961813141,0.0,3.96
17,6,18.782036489422335,36.57659126491434,2,0,2.295582385060558,5096.9259875537455,1,2,0.5647579769691919,0.8717515216015129,4.96
36,1,28.462664828463947,77.12660302902444,4,1,1.8006194559887985,4129.546216026853,0,13,0.5882922630184733,0.8421526048960696,4.68
40,1,24.476431469446805,35.69555121038903,2,0,2.9335479341941033,3642.90024981582,1,11,1.1955237434354653,1.4873556404176616,5.63
4,4,25.484988819812266,65.13941747020571,2,0,2.2411528413400195,3484.115124277306,1,21,1.5118343458751204,0.3115997254989147,5.32
2,1,25.446688283672344,73.00537251111612,0,0,3.513438956581253,3563.192076760329,0,9,0.5334328019167167,1.6571120232459344,7.62
6,5,26.25934816787415,54.898993358301006,3,0,2.5522367249818796,3991.6356519330748,1,12,0.7453028388152452,0.8146329932120641,5.28
